,bench_count,ID,atm_count,cafe_count,bicycle_parking_count,fountain_count,fast_food_count,shelter_count,vending_machine_count,waste_basket_count,recycling_count,drinking_water_count,toilet_count,geometry,tile_count,cluster_cat
1631,4.0,1632,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,1.0,0.0,"POLYGON ((16.406053113941933 48.148924912648894, 16.40604700673195 48.144428257812464, 16.412765880951618 48.1444239746453, 16.412772575087065 48.14892062879748, 16.406053113941933 48.148924912648894))",1,7
1632,-2.0,1633,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.412772575087065 48.14892062879748, 16.412765880951618 48.1444239746453, 16.41948475351306 48.144419298721814, 16.41949203457343 48.148915952128135, 16.412772575087065 48.14892062879748))",1,7
1633,-2.0,1634,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.41949203457343 48.148915952128135, 16.41948475351306 48.144419298721814, 16.426203624272457 48.144414230042244, 16.42621149225722 48.148910882641076, 16.41949203457343 48.148915952128135))",1,7
1634,-2.0,1635,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.42621149225722 48.148910882641076, 16.426203624272457 48.144414230042244, 16.432922493086057 48.144408768606866, 16.4329309479946 48.14890542033662, 16.42621149225722 48.148910882641076))",1,7
1635,0.0,1636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"POLYGON ((16.4329309479946 48.14890542033662, 16.432922493086057 48.144408768606866, 16.43964135981008 48.144402914416006, 16.43965040164174 48.148899565215004, 16.4329309479946 48.14890542033662))",1,4
1636,6.0,1637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"POLYGON ((16.43965040164174 48.148899565215004, 16.43964135981008 48.144402914416006, 16.44636022430073 48.144396667469934, 16.446369853054826 48.14889331727662, 16.43965040164174 48.148899565215004))",1,4
1637,0.0,1638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.446369853054826 48.14889331727662, 16.44636022430073 48.144396667469934, 16.453079086414235 48.14439002776899, 16.453089302090035 48.14888667652171, 16.446369853054826 48.14889331727662))",1,4
1638,-1.0,1639,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.453089302090035 48.14888667652171, 16.453079086414235 48.14439002776899, 16.45979794600683 48.14438299531359, 16.459808748603518 48.1488796429507, 16.453089302090035 48.14888667652171))",1,7
1639,0.0,1640,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,"POLYGON ((16.459808748603518 48.1488796429507, 16.45979794600683 48.14438299531359, 16.466516802934713 48.144375570104046, 16.466528192451484 48.14887221656398, 16.459808748603518 48.1488796429507))",1,7
1640,-8.0,1641,-1.0,-1.0,-5.0,0.0,-1.0,-1.0,0.0,-6.0,-4.0,-1.0,0.0,"POLYGON ((16.466528192451484 48.14887221656398, 16.466516802934713 48.144375570104046, 16.473235657054126 48.14436775214078, 16.473247633490093 48.148864397361905, 16.466528192451484 48.14887221656398))",1,5
1641,-2.0,1642,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.533722452686085 48.148776347929164, 16.5337051940241 48.14427971663007, 16.540424012151025 48.144267971156154, 16.540441857720985 48.14876460060024, 16.533722452686085 48.148776347929164))",1,7
1642,-2.0,1643,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,"POLYGON ((16.540441857720985 48.14876460060024, 16.540424012151025 48.144267971156154, 16.547142825887935 48.14425583293428, 16.547161258364508 48.14875246046177, 16.540441857720985 48.14876460060024))",1,7
1643,-1.0,1644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.547161258364508 48.14875246046177, 16.547142825887935 48.14425583293428, 16.553861635091064 48.14424330196508, 16.55388065447284 48.1487399275144, 16.547161258364508 48.14875246046177))",1,4
1644,-1.0,1645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.55388065447284 48.1487399275144, 16.553861635091064 48.14424330196508, 16.560580439616643 48.14423037824926, 16.56060004590216 48.148727001758736, 16.55388065447284 48.1487399275144))",1,4
1645,-1.0,1646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.56060004590216 48.148727001758736, 16.560580439616643 48.14423037824926, 16.567299239320896 48.144217061787536, 16.567319432508643 48.14871368319556, 16.56060004590216 48.148727001758736))",1,4
1646,-1.0,1647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.567319432508643 48.14871368319556, 16.567299239320896 48.144217061787536, 16.574018034060046 48.144203352580554, 16.574038814148498 48.14869997182554, 16.567319432508643 48.14871368319556))",1,4
1647,-1.0,1648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.574038814148498 48.14869997182554, 16.574018034060046 48.144203352580554, 16.580736823690344 48.14418925062908, 16.580758190677894 48.14868586764941, 16.574038814148498 48.14869997182554))",1,4
1648,-1.0,1649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.211199579322102 48.144381620275254, 16.211210490318276 48.13988496886536, 16.217928763305043 48.13989207454494, 16.217918439086006 48.14438872705734, 16.211199579322102 48.144381620275254))",1,4
1649,-1.0,1650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.217918439086006 48.14438872705734, 16.217928763305043 48.13989207454494, 16.224647038802427 48.1398987875316, 16.224637301361316 48.144395441084896, 16.217918439086006 48.14438872705734))",1,4
1650,-1.0,1651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((16.224637301361316 48.144395441084896, 16.224647038802427 48.1398987875316, 16.231365316666686 48.13990510782497, 16.231356166004257 48.144401762357504, 16.224637301361316 48.144395441084896))",1,4
