,industrial_count,retail_count,popden12,entertainment_count,ID,education_count,food_count,healthcare_count,resi_count,transport_count,green_count,commercials_count,geometry,cluster_cat
45,0.0,0.0,12.50966,0.0,46,0.0,2.0,0.0,2.0,2.0,1.0,0.0,"POLYGON ((16.379303639769432 48.30182235499379, 16.37929984815411 48.297325818104895, 16.386038764045406 48.29732309103854, 16.386043147503187 48.30181962748711, 16.379303639769432 48.30182235499379))",7
46,0.0,0.0,12.50966,0.0,47,0.0,0.0,0.0,3.0,0.0,1.0,0.0,"POLYGON ((16.386043147503187 48.30181962748711, 16.386038764045406 48.29732309103854, 16.392777678842045 48.297319969114014, 16.39278265414194 48.30181650506027, 16.386043147503187 48.30181962748711))",7
47,0.0,0.0,12.50966,0.0,48,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"POLYGON ((16.39278265414194 48.30181650506027, 16.392777678842045 48.297319969114014, 16.399516592398715 48.29731645233149, 16.399522159540325 48.30181298771344, 16.39278265414194 48.30181650506027))",7
48,0.0,0.0,12.50966,0.0,49,0.0,0.0,0.0,0.0,2.0,5.0,0.0,"POLYGON ((16.399522159540325 48.30181298771344, 16.399516592398715 48.29731645233149, 16.406255504570083 48.29731254069114, 16.406261663552993 48.3018090754468, 16.399522159540325 48.30181298771344))",7
49,0.0,0.0,12.50966,0.0,50,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"POLYGON ((16.406261663552993 48.3018090754468, 16.406255504570083 48.29731254069114, 16.412994415210846 48.297308234193196, 16.413001166034565 48.30180476826058, 16.406261663552993 48.3018090754468))",7
50,0.0,0.0,59.49286,1.0,51,0.0,7.0,0.0,1.0,12.0,0.0,1.0,"POLYGON ((16.413001166034565 48.30180476826058, 16.412994415210846 48.297308234193196, 16.41973332417569 48.29730353283789, 16.419740666839694 48.301800066154996, 16.413001166034565 48.30180476826058))",3
51,0.0,2.0,59.49286,0.0,52,0.0,5.0,0.0,2.0,6.0,2.0,1.0,"POLYGON ((16.419740666839694 48.301800066154996, 16.41973332417569 48.29730353283789, 16.42647223131929 48.29729843662545, 16.426480165823012 48.30179496913031, 16.419740666839694 48.301800066154996))",3
52,0.0,0.0,1.45232,0.0,53,0.0,0.0,0.0,0.0,0.0,17.0,0.0,"POLYGON ((16.426480165823012 48.30179496913031, 16.42647223131929 48.29729843662545, 16.433211136496332 48.297292945556165, 16.433219662839157 48.30178947718682, 16.426480165823012 48.30179496913031))",4
53,0.0,0.0,1.45232,0.0,54,0.0,0.0,0.0,0.0,0.0,22.0,0.0,"POLYGON ((16.433219662839157 48.30178947718682, 16.433211136496332 48.297292945556165, 16.439950039561506 48.29728705963035, 16.43995915774277 48.30178359032477, 16.433219662839157 48.30178947718682))",4
54,0.0,0.0,1.45232,0.0,55,0.0,0.0,0.0,1.0,0.0,25.0,0.0,"POLYGON ((16.43995915774277 48.30178359032477, 16.439950039561506 48.29728705963035, 16.446688940369484 48.29728077884831, 16.44669865038848 48.301777308544544, 16.43995915774277 48.30178359032477))",4
55,2.0,2.0,12.50966,0.0,56,0.0,0.0,1.0,0.0,8.0,1.0,0.0,"POLYGON ((16.37256093131347 48.297328150312886, 16.372557732344895 48.292831609515424, 16.37929605748809 48.292829277685705, 16.37929984815411 48.297325818104895, 16.37256093131347 48.297328150312886))",7
56,0.0,1.0,12.50966,0.0,57,0.0,0.0,0.0,8.0,2.0,1.0,0.0,"POLYGON ((16.37929984815411 48.297325818104895, 16.37929605748809 48.292829277685705, 16.386034381682265 48.29282655105961, 16.386038764045406 48.29732309103854, 16.37929984815411 48.297325818104895))",7
57,0.0,0.0,12.50966,0.0,58,2.0,1.0,1.0,0.0,9.0,0.0,0.0,"POLYGON ((16.386038764045406 48.29732309103854, 16.386034381682265 48.29282655105961, 16.39277270478211 48.29282342963734, 16.392777678842045 48.297319969114014, 16.386038764045406 48.29732309103854))",7
58,0.0,0.0,12.50966,0.0,59,0.0,0.0,0.0,0.0,4.0,0.0,0.0,"POLYGON ((16.392777678842045 48.297319969114014, 16.39277270478211 48.29282342963734, 16.399511026642372 48.29281991341904, 16.399516592398715 48.29731645233149, 16.392777678842045 48.297319969114014))",7
59,0.0,0.0,12.50966,0.0,60,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"POLYGON ((16.399516592398715 48.29731645233149, 16.399511026642372 48.29281991341904, 16.40624934711777 48.292816002404855, 16.406255504570083 48.29731254069114, 16.399516592398715 48.29731645233149))",7
60,0.0,0.0,12.50966,0.0,61,0.0,0.0,0.0,2.0,0.0,4.0,0.0,"POLYGON ((16.406255504570083 48.29731254069114, 16.40624934711777 48.292816002404855, 16.412987666063042 48.29281169659507, 16.412994415210846 48.297308234193196, 16.406255504570083 48.29731254069114))",7
61,0.0,0.0,59.49286,0.0,62,0.0,2.0,1.0,22.0,13.0,3.0,0.0,"POLYGON ((16.412994415210846 48.297308234193196, 16.412987666063042 48.29281169659507, 16.419725983332913 48.292806995989885, 16.41973332417569 48.29730353283789, 16.412994415210846 48.297308234193196))",3
62,0.0,0.0,59.49286,0.0,63,1.0,0.0,0.0,0.0,1.0,6.0,0.0,"POLYGON ((16.41973332417569 48.29730353283789, 16.419725983332913 48.292806995989885, 16.426464298782108 48.29280190058953, 16.42647223131929 48.29729843662545, 16.41973332417569 48.29730353283789))",3
63,0.0,0.0,24.81834,0.0,64,0.0,0.0,0.0,0.0,4.0,13.0,0.0,"POLYGON ((16.42647223131929 48.29729843662545, 16.426464298782108 48.29280190058953, 16.43320261226536 48.292796410394345, 16.433211136496332 48.297292945556165, 16.42647223131929 48.29729843662545))",0
64,0.0,0.0,24.81834,0.0,65,0.0,0.0,0.0,4.0,7.0,19.0,0.0,"POLYGON ((16.433211136496332 48.297292945556165, 16.43320261226536 48.292796410394345, 16.4399409236374 48.2927905254046, 16.439950039561506 48.29728705963035, 16.433211136496332 48.297292945556165))",0
65,0.0,0.0,24.81834,0.0,66,0.0,1.0,0.0,24.0,7.0,2.0,0.0,"POLYGON ((16.439950039561506 48.29728705963035, 16.4399409236374 48.2927905254046, 16.44667923275296 48.29278424562056, 16.446688940369484 48.29728077884831, 16.439950039561506 48.29728705963035))",0
66,6.0,0.0,4.07748,0.0,67,0.0,1.0,0.0,4.0,8.0,8.0,0.0,"POLYGON ((16.48038340546555 48.29724345210741, 16.480370739399106 48.29274692479934, 16.487109031925115 48.2927382762577, 16.487122289678798 48.29723480219589, 16.48038340546555 48.29724345210741))",7
67,0.0,0.0,4.07748,0.0,68,0.0,0.0,0.0,0.0,0.0,23.0,0.0,"POLYGON ((16.487122289678798 48.29723480219589, 16.487109031925115 48.2927382762577, 16.49384732117777 48.29272923292461, 16.493861170617656 48.297225757430965, 16.487122289678798 48.29723480219589))",4
68,17.0,0.0,8.40742,0.0,69,1.0,3.0,0.0,2.0,8.0,2.0,0.0,"POLYGON ((16.338866097477684 48.29283734671499, 16.338865857076513 48.28834080142556, 16.345603593232912 48.28834044364752, 16.345604425187037 48.29283698886852, 16.338866097477684 48.29283734671499))",7
69,0.0,0.0,8.40742,0.0,70,0.0,0.0,0.0,0.0,0.0,12.0,0.0,"POLYGON ((16.345604425187037 48.29283698886852, 16.345603593232912 48.28834044364752, 16.35234132916669 48.28833969113466, 16.35234275267372 48.29283623622529, 16.345604425187037 48.29283698886852))",7
70,0.0,0.0,73.43039,0.0,71,0.0,0.0,0.0,3.0,2.0,3.0,0.0,"POLYGON ((16.372557732344895 48.292831609515424, 16.37255453418007 48.28833506518769, 16.379292267771124 48.28833273373619, 16.37929605748809 48.292829277685705, 16.372557732344895 48.292831609515424))",3
71,2.0,0.0,73.43039,0.0,72,3.0,0.0,0.0,10.0,4.0,0.0,1.0,"POLYGON ((16.37929605748809 48.292829277685705, 16.379292267771124 48.28833273373619, 16.38603000041342 48.28833000755031, 16.386034381682265 48.29282655105961, 16.37929605748809 48.292829277685705))",3
72,0.0,0.0,12.50966,0.0,73,0.0,0.0,0.0,7.0,5.0,1.0,0.0,"POLYGON ((16.386034381682265 48.29282655105961, 16.38603000041342 48.28833000755031, 16.392767731961747 48.28832688663015, 16.39277270478211 48.29282342963734, 16.386034381682265 48.29282655105961))",7
73,0.0,0.0,12.50966,0.0,74,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"POLYGON ((16.39277270478211 48.29282342963734, 16.392767731961747 48.28832688663015, 16.399505462270866 48.28832337097597, 16.399511026642372 48.29281991341904, 16.39277270478211 48.29282342963734))",7
74,0.0,0.0,12.50966,0.0,75,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"POLYGON ((16.399511026642372 48.29281991341904, 16.399505462270866 48.28832337097597, 16.40624319119557 48.28831946058788, 16.40624934711777 48.292816002404855, 16.399511026642372 48.29281991341904))",7
75,0.0,0.0,12.50966,0.0,76,0.0,0.0,1.0,0.0,4.0,6.0,0.0,"POLYGON ((16.40624934711777 48.292816002404855, 16.40624319119557 48.28831946058788, 16.412980918590613 48.2883151554661, 16.412987666063042 48.29281169659507, 16.40624934711777 48.292816002404855))",7
76,0.0,0.0,24.81834,0.0,77,2.0,1.0,1.0,10.0,6.0,7.0,0.0,"POLYGON ((16.412987666063042 48.29281169659507, 16.412980918590613 48.2883151554661, 16.419718644310784 48.28831045561093, 16.419725983332913 48.292806995989885, 16.412987666063042 48.29281169659507))",0
77,0.0,0.0,24.81834,0.0,78,1.0,0.0,0.0,7.0,0.0,8.0,0.0,"POLYGON ((16.419725983332913 48.292806995989885, 16.419718644310784 48.28831045561093, 16.426456368210854 48.28830536102256, 16.426464298782108 48.29280190058953, 16.419725983332913 48.292806995989885))",0
78,0.0,0.0,24.81834,0.0,79,0.0,0.0,0.0,5.0,0.0,11.0,0.0,"POLYGON ((16.426464298782108 48.29280190058953, 16.426456368210854 48.28830536102256, 16.433194090145584 48.28829987170129, 16.43320261226536 48.292796410394345, 16.426464298782108 48.29280190058953))",0
79,0.0,0.0,24.81834,0.0,80,0.0,0.0,0.0,5.0,0.0,12.0,0.0,"POLYGON ((16.43320261226536 48.292796410394345, 16.433194090145584 48.28829987170129, 16.43993180996977 48.2882939876474, 16.4399409236374 48.2927905254046, 16.43320261226536 48.292796410394345))",0
80,0.0,0.0,24.81834,0.0,81,0.0,0.0,0.0,11.0,0.0,11.0,0.0,"POLYGON ((16.4399409236374 48.2927905254046, 16.43993180996977 48.2882939876474, 16.446669527538177 48.28828770886123, 16.44667923275296 48.29278424562056, 16.4399409236374 48.2927905254046))",0
81,0.0,0.0,29.43869,0.0,82,0.0,0.0,0.0,21.0,4.0,0.0,0.0,"POLYGON ((16.44667923275296 48.29278424562056, 16.446669527538177 48.28828770886123, 16.453407242705584 48.288281035343104, 16.453417539466766 48.29277757104263, 16.44667923275296 48.29278424562056))",0
82,0.0,0.0,4.07748,0.0,83,0.0,0.0,0.0,7.0,1.0,15.0,0.0,"POLYGON ((16.480370739399106 48.29274692479934, 16.48035807646073 48.28825039395866, 16.487095777444786 48.288241746786646, 16.487109031925115 48.2927382762577, 16.480370739399106 48.29274692479934))",4
83,0.0,0.0,4.07748,0.0,84,0.0,0.0,0.0,3.0,0.0,12.0,0.0,"POLYGON ((16.487109031925115 48.2927382762577, 16.487095777444786 48.288241746786646, 16.493833475156503 48.28823270488514, 16.49384732117777 48.29272923292461, 16.487109031925115 48.2927382762577))",7
84,0.0,0.0,4.07748,0.0,85,0.0,0.0,0.0,0.0,1.0,23.0,0.0,"POLYGON ((16.49384732117777 48.29272923292461, 16.493833475156503 48.28823270488514, 16.50057116945065 48.288223268254654, 16.5005856070118 48.29271979480058, 16.49384732117777 48.29272923292461))",4
85,0.0,0.0,4.07748,0.0,86,0.0,0.0,0.0,0.0,0.0,17.0,0.0,"POLYGON ((16.5005856070118 48.29271979480058, 16.50057116945065 48.288223268254654, 16.507308860182025 48.28821343689569, 16.507323889281924 48.29270996188611, 16.5005856070118 48.29271979480058))",4
86,0.0,0.0,4.07748,0.0,87,0.0,0.0,0.0,0.0,0.0,12.0,0.0,"POLYGON ((16.507323889281924 48.29270996188611, 16.507308860182025 48.28821343689569, 16.514046547205396 48.28820321080879, 16.514062167842894 48.292699734181774, 16.507323889281924 48.29270996188611))",7
87,1.0,0.0,8.40742,0.0,88,0.0,0.0,0.0,9.0,3.0,14.0,1.0,"POLYGON ((16.338865857076513 48.28834080142556, 16.338865616752713 48.283844252605974, 16.345602761501375 48.28384389489633, 16.345603593232912 48.28834044364752, 16.338865857076513 48.28834080142556))",7
88,0.0,0.0,8.40742,0.0,89,0.0,0.0,0.0,3.0,1.0,1.0,0.0,"POLYGON ((16.345603593232912 48.28834044364752, 16.345602761501375 48.28384389489633, 16.352339906027495 48.283843142513824, 16.35234132916669 48.28833969113466, 16.345603593232912 48.28834044364752))",7
89,0.0,0.0,8.40742,0.0,90,0.0,0.0,0.0,0.0,0.0,12.0,0.0,"POLYGON ((16.35234132916669 48.28833969113466, 16.352339906027495 48.283843142513824, 16.35907705018588 48.28384199545847, 16.35907906473263 48.288338543887036, 16.35234132916669 48.28833969113466))",7
90,9.0,0.0,0.17862,0.0,91,0.0,0.0,0.0,0.0,0.0,6.0,0.0,"POLYGON ((16.365816799785502 48.28833700190467, 16.365814193831362 48.283840453730384, 16.372551336818752 48.283838517329634, 16.37255453418007 48.28833506518769, 16.365816799785502 48.28833700190467))",7
91,19.0,0.0,0.17862,0.0,92,0.0,0.0,0.0,0.0,6.0,2.0,0.0,"POLYGON ((16.37255453418007 48.28833506518769, 16.372551336818752 48.283838517329634, 16.379288479002867 48.28383618625629, 16.379292267771124 48.28833273373619, 16.37255453418007 48.28833506518769))",7
92,5.0,0.0,73.43039,0.0,93,0.0,1.0,1.0,16.0,14.0,0.0,4.0,"POLYGON ((16.379292267771124 48.28833273373619, 16.379288479002867 48.28383618625629, 16.38602562023852 48.28383346051048, 16.38603000041342 48.28833000755031, 16.379292267771124 48.28833273373619))",3
93,0.0,0.0,73.43039,0.0,94,0.0,0.0,0.0,14.0,0.0,8.0,0.0,"POLYGON ((16.38603000041342 48.28833000755031, 16.38602562023852 48.28383346051048, 16.39276276038055 48.28383034009242, 16.392767731961747 48.28832688663015, 16.38603000041342 48.28833000755031))",3
94,0.0,0.0,12.50966,0.0,95,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"POLYGON ((16.392767731961747 48.28832688663015, 16.39276276038055 48.28383034009242, 16.39949989928377 48.28382682500224, 16.399505462270866 48.28832337097597, 16.392767731961747 48.28832688663015))",7
